Financial Year,Offence Month,Inf No,Face Value,Infringement Type,Offence Description,Location Details
2006/07,Nov,1,308,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,ARTHUR STREET (122) STRATHFIELD EASTBOUND
2006/07,Sep,1,308,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,MOWBRAY ROAD (110) WILLOUGHBY EASTBOUND
2006/07,Sep,2,616,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,SPRINGHILL ROAD (600) CONISTON EASTBOUND
2006/07,Jul,3,924,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,PACIFIC HIGHWAY (157) TURRAMURRA WESTBOUND
2006/07,Jun,7,2156,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,PARRAMATTA ROAD (2) FOREST LODGE EASTBOUND
2006/07,Jun,254,78232,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,STONEY CREEK ROAD (140) PEAKHURST WESTBOUND
2006/07,May,13,4004,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,WARDELL ROAD (160) DULWICH HILL NORTHBOUND
2006/07,Apr,195,60060,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,VICTORIA ROAD (86) ERMINGTON WESTBOUND
2006/07,Apr,176,54208,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,MULGOA ROAD (94) PENRITH NORTHBOUND
2006/07,Apr,80,24640,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,DONALD STREET (512) HAMILTON WESTBOUND
2006/07,Apr,22,6776,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,CANTERBURY ROAD (89) CAMPSIE WESTBOUND
2006/07,Apr,46,14168,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,DAVIES ROAD(25) PADSTOW SOUTHBOUND
2006/07,Apr,134,41272,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,CUMBERLAND HIGHWAY (97) SOUTH WENTWORTHVILLE SOUTHBOUND
2006/07,Apr,14,4312,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,PRINCES HIGHWAY BULLI (Z) SOUTHBOUND
2006/07,Jan,89,27412,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,VICTORIA ROAD (114) PARRAMATTA WESTBOUND
2006/07,Jan,45,13860,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,SACKVILLE STREET (63) CANLEY VALE NORTHBOUND
2006/07,Jan,13,4004,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,HUME HIGHWAY (133) GREENACRE SOUTHBOUND
2006/07,Jan,84,25872,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,MOWBRAY ROAD (110) WILLOUGHBY EASTBOUND
2006/07,Nov,49,15092,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,ARTHUR STREET (122) STRATHFIELD EASTBOUND
2006/07,Nov,28,8624,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,PRINCES HIGHWAY BULLI (Z) SOUTHBOUND
2006/07,Nov,89,27412,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,MONA VALE ROAD(38) ST IVES SOUTHBOUND
2006/07,Nov,116,35728,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,FIVE ISLANDS RD (BRAMBLES CNR) WARRAWONG SOUTHBOUND
2006/07,Oct,134,41272,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,CASTLE HILL ROAD (72) WEST PENNANT HILLS SOUTHBOUND
2006/07,Feb,146,44968,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,MONA VALE ROAD(38) ST IVES SOUTHBOUND
2006/07,Dec,69,21252,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,PRINCES HIGHWAY(6) KOGARAH SOUTHBOUND
2006/07,Dec,28,8624,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,VICTORIA ROAD (114) PARRAMATTA WESTBOUND
2006/07,Dec,43,13244,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,ARTHUR STREET (122) STRATHFIELD EASTBOUND
2006/07,Dec,55,16940,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,CASTLE HILL ROAD (72) WEST PENNANT HILLS SOUTHBOUND
2006/07,Oct,192,59136,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,NEW SOUTH HEAD ROAD (144) DOUBLE BAY WESTBOUND
2006/07,Oct,169,52052,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,OLD SOUTH HEAD ROAD (108) BONDI JUNCTION WESTBOUND
2006/07,Oct,9,2772,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,TUDOR STREET (513) HAMILTON WESTBOUND
2006/07,Aug,201,61908,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,CASTLE HILL ROAD (72) WEST PENNANT HILLS SOUTHBOUND
2006/07,Aug,237,72996,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,PARRAMATTA ROAD (14) GRANVILLE WESTBOUND
2006/07,Aug,62,19096,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,O'RIORDAN STREET (162) MASCOT SOUTHBOUND
2006/07,Sep,111,34188,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,MOWBRAY ROAD (110) WILLOUGHBY EASTBOUND
2006/07,Sep,90,27720,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,OLD SOUTH HEAD ROAD (108) BONDI JUNCTION WESTBOUND
2006/07,Aug,140,43120,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,KING GEORGES ROAD (42) BEVERLY HILLS NORTHBOUND
2006/07,Aug,20,6160,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,TUDOR STREET (513) HAMILTON WESTBOUND
2006/07,Aug,81,24948,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,NEW SOUTH HEAD ROAD (144) DOUBLE BAY WESTBOUND
2006/07,Jul,91,28028,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,PRINCES HIGHWAY(6) KOGARAH SOUTHBOUND
2006/07,Jul,271,83468,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,NEW SOUTH HEAD ROAD (144) DOUBLE BAY WESTBOUND
2006/07,May,84,25872,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,CUMBERLAND HIGHWAY (96) WEST CABRAMATTA NORTHBOUND
2006/07,May,36,11088,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,MONA VALE ROAD(38) ST IVES SOUTHBOUND
2006/07,May,18,5544,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,CROUDACE ROAD (507) LAMBTON NORTHBOUND
2006/07,Apr,23,7084,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,CROUDACE ROAD (507) LAMBTON NORTHBOUND
2006/07,Apr,8,2464,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,CITY ROAD (514) MEREWETHER NORTHBOUND
2006/07,Sep,22,6776,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,TUDOR STREET (513) HAMILTON WESTBOUND
2006/07,Sep,175,53900,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,CASTLE HILL ROAD (72) WEST PENNANT HILLS SOUTHBOUND
2006/07,Sep,107,32956,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,ANZAC PARADE (143) MAROUBRA SOUTHBOUND
2006/07,Sep,77,23716,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,MAIN ROAD (503) GLENDALE EASTBOUND
2006/07,Sep,86,26488,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,PARRAMATTA ROAD (14) GRANVILLE WESTBOUND
2006/07,Jul,89,27412,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,FIVE ISLANDS RD (BRAMBLES CNR) WARRAWONG SOUTHBOUND
2006/07,Jul,52,16016,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,KINGSWAY (85) WOOLOOWARE WESTBOUND
2005/06,Jun,17,5100,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,NEW SOUTH HEAD ROAD (144) DOUBLE BAY WESTBOUND
2005/06,May,10,3000,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,HUME HWY (LIVERPOOL ROAD)(5) BURWOOD (Z) EASTBOUND
2005/06,Mar,7,2100,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,PENNANT HILLS ROAD (47) THORNLEIGH NORTHBOUND
2005/06,Dec,4,1200,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,ERNEST STREET(158) CAMMERAY EASTBOUND
2005/06,Nov,6,1800,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,OXFORD STREET (67) BONDI JUNCTION WESTBOUND
