2013,Stealing from person,,,Steal from motor vehicle,,,Robbery,,,Assault -non-domestic violence,,,Assault - domestic violence,,,Sexual offences,,
,Total,"Rate per 100,000 population",Rank,Total,"Rate per 100,000 population",Rank,Total,"Rate per 100,000 population",Rank,Total,"Rate per 100,000 population",Rank,Total,"Rate per 100,000 population",Rank,Total,"Rate per 100,000 population",Rank
Hurstville, 103 , 123.5 , 12 , 410 , 491.7 , 79 , 43 , 51.6 , 26 , 196 , 235.1 , 117 , 251 , 301.0 , 94 , 59 , 70.8 , 130 
Inverell, 2 , 12.0 , 106 , 65 , 389.6 , 99 , 1 , 6.0 , 113 , 129 , 773.3 , 18 , 137 , 821.2 , 9 , 35 , 209.8 , 47 
Jerilderie, - , nc , nc , 7 , nc , nc , - , nc , nc , 3 ,  nc  ,  nc  , 3 , nc , nc , - , nc , nc 
Junee, 1 , 16.4 , 101 , 10 , 164.4 , 133 , 1 , 16.4 , 92 , 14 , 230.1 , 118 , 11 , 180.8 , 122 , 14 , 230.1 , 35 
Kempsey, 35 , 119.7 , 14 , 259 , 885.7 , 20 , 23 , 78.6 , 14 , 216 , 738.6 , 23 , 222 , 759.1 , 12 , 66 , 225.7 , 37 
Kiama, 12 , 57.6 , 48 , 54 , 259.1 , 121 , 8 , 38.4 , 40 , 40 , 191.9 , 129 , 40 , 191.9 , 120 , 26 , 124.7 , 99 
Kogarah, 46 , 77.0 , 31 , 341 , 570.5 , 65 , 26 , 43.5 , 34 , 132 , 220.8 , 122 , 134 , 224.2 , 111 , 61 , 102.1 , 113 
Ku-ring-gai, 13 , 11.2 , 107 , 253 , 217.0 , 127 , 21 , 18.0 , 86 , 77 , 66.1 , 140 , 93 , 79.8 , 139 , 76 , 65.2 , 134 
Kyogle, 1 , 10.5 , 109 , 18 , 189.1 , 129 , 2 , 21.0 , 81 , 43 , 451.7 , 67 , 32 , 336.1 , 86 , 24 , 252.1 , 26 
Lachlan, 1 , 14.7 , 103 , 56 , 824.9 , 26 , - , - , nc , 57 , 839.6 , 13 , 59 , 869.1 , 7 , 14 , 206.2 , 48 
Lake Macquarie, 103 , 52.2 , 53 ," 1,381 ", 699.8 , 38 , 72 , 36.5 , 43 , 724 , 366.9 , 85 , 794 , 402.4 , 67 , 368 , 186.5 , 58 
Lane Cove, 8 , 23.8 , 91 , 89 , 264.3 , 120 , 8 , 23.8 , 75 , 49 , 145.5 , 138 , 23 , 68.3 , 140 , 12 , 35.6 , 140 
Leeton, 1 , 8.7 , 113 , 41 , 356.8 , 108 , 1 , 8.7 , 108 , 81 , 704.8 , 26 , 47 , 409.0 , 64 , 31 , 269.8 , 21 
Leichhardt, 45 , 79.9 , 28 , 503 , 893.6 , 16 , 27 , 48.0 , 29 , 155 , 275.4 , 105 , 116 , 206.1 , 116 , 48 , 85.3 , 121 
Lismore, 18 , 40.5 , 68 , 202 , 455.0 , 87 , 18 , 40.5 , 38 , 311 , 700.5 , 28 , 188 , 423.5 , 61 , 106 , 238.8 , 30 
Lithgow, 10 , 47.8 , 59 , 129 , 616.1 , 56 , 5 , 23.9 , 74 , 147 , 702.1 , 27 , 98 , 468.0 , 48 , 47 , 224.5 , 39 
Liverpool, 149 , 78.0 , 30 ," 1,283 ", 671.2 , 44 , 161 , 84.2 , 11 , 767 , 401.3 , 81 , 967 , 505.9 , 42 , 262 , 137.1 , 89 
Liverpool Plains, - , - , nc , 25 , 321.0 , 115 , 1 , 12.8 , 100 , 37 , 475.1 , 63 , 29 , 372.4 , 76 , 15 , 192.6 , 51 
Lockhart, - , - , nc , 7 , 228.5 , 124 , - , - , nc , 8 , 261.1 , 108 , 12 , 391.6 , 69 , 7 , 228.5 , 36 
Lord Howe Island, - , nc , nc , - , nc , nc , - , nc , nc ,  - ,  nc  ,  nc  , 1 , nc , nc , 1 , nc , nc 
Maitland, 48 , 67.1 , 37 , 562 , 785.5 , 30 , 29 , 40.5 , 39 , 296 , 413.7 , 79 , 369 , 515.7 , 39 , 103 , 144.0 , 85 
